연번,업체명,주소,전화번호
28,메디팜으뜸약국,"전라북도 전주시 완산구 서원로 325, 나눔빌딩 102호 (중화산동1가)",063-226-7897
29,명문약국,전라북도 전주시 완산구 거마평로 181 (효자동1가),063-224-9500
30,명성약국,전라북도 전주시 덕진구 안덕원로 159(인후동2가),063-271-1223
31,명약국,전라북도 전주시 완산구 견훤왕궁로 78 (중노송동),063-284-7263
32,명현약국,"전라북도 전주시 완산구 온고을로 119, 115-117호 (서신동, 신일아파트)",063-251-3762
33,문약국,"전라북도 전주시 덕진구 도당산2길 8-2, 상아빌라 1층 (우아동3가)",063-247-0652
34,미도약국,"전라북도 전주시 완산구 백제대로 120, 미래내과 (효자동1가)",063-226-7863
35,미소약국,"전라북도 전주시 완산구 홍산로 249, 대신빌딩 1층 101-2호 (효자동2가)",063-237-3801
36,미소온누리약국,"전라북도 전주시 덕진구 기린대로 489, 한나여성병원 (덕진동1가)",
37,미소진약국,전라북도 전주시 완산구 호암로 29 (효자동2가),
38,민트약국,"전라북도 전주시 덕진구 명륜4길 17, 104호 (덕진동1가)",
39,바다약국,전라북도 전주시 덕진구 송천로 30 (송천동1가),
40,바른동물약국,전라북도 전주시 덕진구 기지로 66 (중동),063-225-9370
41,백제약국,전라북도 전주시 완산구 서원로 353(중화산동1가),
42,백화점약국,전라북도 전주시 완산구 온고을로 26 (서신동),063-255-8275
43,베스트약국,전라북도 전주시 완산구 홍산로 250 (효자동3가),063-223-2003
44,보건온누리약국,"전라북도 전주시 덕진구 우아3길 22, 1층 (우아동3가)",
45,보금약국,"전라북도 전주시 완산구 유연로 158, (효자동3가)",063-229-8270
46,본약국,"전라북도 전주시 덕진구 송천중앙로 154, 국민은행 102호 (송천동1가)",063-276-3876
47,빅약국,"전라북도 전주시 덕진구 송천중앙로 82, 롯데마트 송천점 2층 일부호 (송천동1가)",
48,새롬약국,전라북도 전주시 완산구 거마평로 22 (삼천동1가),063-226-7985
49,새하늘약국,"전라북도 전주시 완산구 홍산1길 21, 104호 (효자동2가, 서희스타힐스)",063-227-7771
50,새하얀온누리약국,전라북도 전주시 완산구 용머리로 62 (효자동1가),063-229-8575
51,샛별약국,전라북도 전주시 완산구 서원로 318(중화산동2가),
52,서문동물약국,"전라북도 전주시 완산구 용머리로 54, 전북은행 (효자동1가)",063-226-9940
53,서부대성약국,"전라북도 전주시 완산구 용머리로 148, 헤브론빌딩 (효자동1가)",063-227-7733
54,서신약국,전라북도 전주시 완산구 전룡로 98 (서신동),063-274-7569
55,서신이마트약국,전라북도 전주시 완산구 당산로 106 (서신동),063-255-3520
56,서신종로약국,전라북도 전주시 완산구 당산로 98 (서신동),063-275-8813
57,서신태평양약국,전라북도 전주시 완산구 당산로 102 (서신동),
58,서신토마토약국,"전라북도 전주시 완산구 온고을로 66 (서신동, 박천수정형외과)",063-274-5755
59,성심약국,전라북도 전주시 완산구 서학로 36(동서학동),
60,센타프라자약국,"전라북도 전주시 덕진구 만성중앙로 45, 109호 (만성동)",063-214-7585
61,센트럴약국,"전라북도 전주시 완산구 홍산2길 17, 센트럴빌딩 1층 102호 (효자동3가)",063-466-3266
62,솔약국,"전라북도 전주시 완산구 장승배기로 268, 이정기빌딩 1층 (평화동1가)",
63,송신약국,"전라북도 전주시 완산구 강변로 106 (삼천동1가, 삼천하이츠)",063-226-9988
64,송천동물약국,"전라북도 전주시 덕진구 붓내3길 48 (송천동2가, 의원)",063-278-2818
65,송천사랑약국,전라북도 전주시 덕진구 시천로 40 (송천동1가),063-275-8415
66,송천성심약국,전라북도 전주시 덕진구 솔내로 148 (송천동1가),063-252-7788
67,수진가동물약국,"전라북도 전주시 덕진구 세병남로 25, 1층 104호 (송천동2가)",063-272-8066
68,수하락한약국,전라북도 전주시 완산구 문학로 10 (효자동3가),
69,실로암약국,전라북도 전주시 덕진구 백제대로 686 (인후동2가),063-247-1300
70,아름다운약국,전라북도 전주시 덕진구 아중로 147 (인후동1가),063-247-0880
71,아중녹십자약국,전라북도 전주시 덕진구 석소로 32 (우아동2가),063-245-8555
72,아중백제약국,전라북도 전주시 덕진구 견훤로 229 (인후동1가),063-242-0027
73,약손약국,전라북도 전주시 완산구 거마평로 190 (효자동1가),
74,에이스약국,"전라북도 전주시 덕진구 솔내로 152, 103호 (송천동1가)",063-904-9443
75,에이스약국,"전라북도 전주시 덕진구 솔내로 152, 1층 (송천동1가)",
76,에코동물약국,"전라북도 전주시 덕진구 세병로 30, 2층 205호 (송천동2가)",063-271-2769
77,에코사랑약국,"전라북도 전주시 덕진구 세병남로 35, 승정빌딩 1층 (송천동2가)",063-271-7555
78,에코수약국,전라북도 전주시 덕진구 세병로 176 (송천동2가),063-255-1133
79,에코유익한약국,"전라북도 전주시 덕진구 세병로 172, 103호 (송천동2가)",063-278-1300
80,에코윤약국,"전라북도 전주시 덕진구 과학로 20, 엘디엠시티 107호 (송천동2가)",
81,에코참약국,"전라북도 전주시 덕진구 세병서로 10, (송천동2가)",
82,연세약국,전라북도 전주시 완산구 서원로 284 (중화산동2가),063-225-9322
83,연세큰사랑약국,"전라북도 전주시 덕진구 도당산4길 69, 1층 (우아동3가)",063-247-3367
84,열린약국,"전라북도 전주시 완산구 모악로 4766, 열린약국 (평화동1가)",
85,오거리약국,"전라북도 전주시 완산구 전주객사5길 77, 1층 2호 (고사동)",
86,온심약국,"전라북도 전주시 완산구 모악로 4679 (평화동2가, 전주농협신성지점)",063-228-9278
87,온정약국,"전라북도 전주시 완산구 용머리로 152, 1층 (효자동1가)",
88,올리브약국,"전라북도 전주시 완산구 홍산로 260, 엠스퀘어 1층 101호 (효자동3가)",
89,옵티마런던약국,"전라북도 전주시 덕진구 태진로 125-30, 103동 103호 (금암동, 휴엔하임주상복합아파트)",063-252-2332
90,완산종로약국,"전라북도 전주시 완산구 당산로 96, BYC / 복음연합내과 1층 108,109호 (서신동)",
91,우리들약국,"전라북도 전주시 덕진구 권삼득로 303, 1층 (금암동)",
92,우리약국,전라북도 전주시 완산구 당산로 49 (서신동),
93,우리정다운약국,"전라북도 전주시 완산구 당산로 43, 1층 (서신동, 제일비사벌새터마을아파트)",063-275-9115
94,은약국,"전라북도 전주시 덕진구 견훤로 501, 이수영내과의원 1층층 (우아동3가)",
95,인후대형약국,"전라북도 전주시 덕진구 무삼지로 66, 1층 (인후동1가)",
96,인후종로약국,"전라북도 전주시 덕진구 무삼지로 80, 이태관내과 (인후동1가)",063-241-3538
97,전주대형약국,전라북도 전주시 완산구 당산로 50 (서신동),063-278-3060
98,전주동물약국,전라북도 전주시 덕진구 기린대로 479-1 (덕진동1가),063-272-0430
99,전주백제약국,"전라북도 전주시 덕진구 백제대로 687 (금암동, 전주백제약국)",063-251-7569
100,전주비타민약국,전라북도 전주시 완산구 전라감영5길 19-8(중앙동3가),063-232-4936
101,전주시동물약국,전라북도 전주시 완산구 우전로 225 (효자동2가),063-236-2282
102,전주온누리약국,"전라북도 전주시 완산구 온고을로 18, 104호호 (서신동)",063-255-2884
103,전주종로중화산점약국,전라북도 전주시 완산구 백제대로 262 (중화산동2가),070-7719-7585
104,정다운약국,"전라북도 전주시 덕진구 전주천동로 506, 한양내과 (금암동)",063-278-3141
105,정약국,전라북도 전주시 덕진구 동부대로 891 (호성동1가),063-241-0798
106,조아약국,전라북도 전주시 완산구 전라감영3길 20 (중앙동2가),063-231-2828
107,좋은약국,"전라북도 전주시 덕진구 안덕원로 160, 박소아과 1층 (인후동2가)",
108,차약국,"전라북도 전주시 완산구 강당4길 1, 전주성천교회 1층 (중화산동1가)",
109,참조은약국,전라북도 전주시 완산구 백제대로 114 (효자동1가),063-222-3751
110,친절한약국,전라북도 전주시 완산구 노송광장로 68(서노송동),063-272-3007
111,코끼리약국,"전라북도 전주시 완산구 팔달로 291, 1층 (서노송동)",063-277-8502
112,코코약국,"전라북도 전주시 완산구 용리로 133, 1층 (삼천동1가, 삼익아파트)",
113,키다리약국,"전라북도 전주시 덕진구 세병로 92, 에코시티 데시앙 네스트 3블럭 106호 (송천동2가)",
114,튼튼약국,전라북도 전주시 완산구 서원로 63 (효자동2가),063-228-9877
115,평화대성약국,전라북도 전주시 완산구 모악로 4750 (평화동1가),
116,프렌드팜남대문약국,전라북도 전주시 완산구 용머리로 57 (효자동1가),063-222-2106
117,하나동물약국,"전라북도 전주시 덕진구 호성1길 10, 태형메디빌딩 (우아동3가)",063-242-1166
118,하나로약국,"전라북도 전주시 덕진구 비석날로 20, 농협하나로마트 (여의동)",0507-1303-9151
119,한사랑약국,전라북도 전주시 덕진구 안덕원로 373 (산정동),063-244-1251
120,한솔약국,"전라북도 전주시 덕진구 가련산로 10, 106호 (덕진동2가)",063-271-0030
121,혁신사랑약국,"전라북도 전주시 덕진구 오공로 47, 1층 103호 (중동)",063-909-3802
122,호성백제약국,전라북도 전주시 덕진구 호성3길 22 (호성동1가),063-241-7569
123,호성프라자약국,"전라북도 전주시 덕진구 호성3길 19, 진이비인후과 106호 (호성동1가)",
124,홀리스틱동물약국,전라북도 전주시 완산구 문학대6길 11 (효자동3가),063-226-2917
125,화영약국,"전라북도 전주시 완산구 장승배기로 290, 1층 (평화동1가)",063-288-3020
126,회생약국,전라북도 전주시 덕진구 송천중앙로 147 (송천동1가),063-277-3152
127,효인약국,전라북도 전주시 완산구 서원로 355 (중화산동1가),063-288-8724
128,효자애플약국,전라북도 전주시 완산구 쑥고개로 317(효자동2가),063-221-1412
129,효천큰약국,전라북도 전주시 완산구 효천중앙로 55(효자동2가),063-227-2121
130,휴베이스 효천약국,전라북도 전주시 완산구 천잠로 164 (효자동2가),0507-1340-1728
131,희망약국,"전라북도 전주시 완산구 장승배기로 200, SC제일은행 (평화동1가)",063-228-2490
